fips_code,name,state,pop_2010,pop_2011,pop_2012,pop_2013,pop_2014,pop_2015,pop_2016,pop_2017,pop_2018,pop_2019
1001,Autauga County,AL,54773,55227,54954,54727,54893,54864,55243,55390,55533,55869
1003,Baldwin County,AL,183112,186558,190145,194885,199183,202939,207601,212521,217855,223234
1005,Barbour County,AL,27327,27341,27169,26937,26755,26283,25806,25157,24872,24686
1007,Bibb County,AL,22870,22745,22667,22521,22553,22566,22586,22550,22367,22394
1009,Blount County,AL,57376,57560,57580,57619,57526,57526,57494,57787,57771,57826
1011,Bullock County,AL,10876,10675,10606,10549,10663,10400,10389,10176,10174,10101
1013,Butler County,AL,20932,20866,20670,20356,20327,20162,20012,19888,19631,19448
1015,Calhoun County,AL,118408,117744,117190,116471,115917,115469,114973,114710,114331,113605
1017,Chambers County,AL,34122,34033,34104,34139,33977,33996,33745,33707,33600,33254
1019,Cherokee County,AL,25963,25989,25958,26017,25895,25732,25768,25805,26014,26196
1021,Chilton County,AL,43653,43689,43582,43628,43760,43700,43866,44120,44163,44428
1023,Choctaw County,AL,13849,13609,13563,13397,13317,13231,13045,12925,12833,12589
1025,Clarke County,AL,25766,25587,25155,25123,24864,24698,24340,24063,23918,23622
1027,Clay County,AL,13898,13687,13434,13404,13441,13415,13393,13350,13294,13235
1029,Cleburne County,AL,15004,14928,14889,14976,15026,14914,14848,14899,15010,14910
1031,Coffee County,AL,50208,50444,51141,50681,50657,50963,51202,51853,51950,52342
1033,Colbert County,AL,54524,54539,54570,54529,54462,54417,54497,54695,55004,55241
1035,Conecuh County,AL,13236,13195,13046,12912,12677,12678,12500,12431,12292,12067
1037,Coosa County,AL,11780,11486,11346,11254,11037,10934,10819,10724,10643,10663
1039,Covington County,AL,37809,38020,37805,37814,37760,37556,37382,37062,36953,37049
1041,Crenshaw County,AL,13869,13894,13915,13847,13851,13850,13916,13858,13825,13772
1043,Cullman County,AL,80456,80410,80279,80690,81068,81761,82450,82867,83418,83768
1045,Dale County,AL,50394,50122,50289,49771,49414,49365,49362,49342,49143,49172
1047,Dallas County,AL,43854,43251,42789,41976,41554,40936,40080,39238,38294,37196
1049,DeKalb County,AL,71163,71365,70944,70912,70993,71087,71104,71437,71407,71513
1051,Elmore County,AL,79552,79993,80193,80536,80538,80872,81204,81422,81011,81209
1053,Escambia County,AL,38345,38204,38023,37765,37735,37661,37475,36993,36524,36633
1055,Etowah County,AL,104459,104369,104278,103884,103399,102998,102855,103007,102611,102268
1057,Fayette County,AL,17229,17052,16945,16824,16772,16696,16563,16466,16445,16302
1059,Franklin County,AL,31746,31776,31690,31553,31559,31515,31611,31542,31298,31362
1061,Geneva County,AL,26777,26756,26924,26677,26593,26631,26494,26385,26306,26271
1063,Greene County,AL,8991,8903,8848,8748,8584,8508,8482,8310,8209,8111
1065,Hale County,AL,15745,15361,15364,15246,15046,15015,14828,14801,14749,14651
1067,Henry County,AL,17296,17377,17153,17129,17079,17101,17072,17115,17173,17205
1069,Houston County,AL,101798,102488,103371,103643,104158,104260,104218,104378,104770,105882
1071,Jackson County,AL,53184,53214,53079,52957,52562,52195,51988,51828,51621,51626
1073,Jefferson County,AL,658215,658109,658061,659265,659972,660455,660343,659599,659429,658573
1075,Lamar County,AL,14496,14291,14248,14212,14067,13927,13928,13882,13882,13805
1077,Lauderdale County,AL,92737,92607,92662,92701,93000,92459,92425,92564,92604,92729
1079,Lawrence County,AL,34342,34051,33806,33575,33444,33135,33227,33063,32941,32924
1081,Lee County,AL,140794,144130,148567,151809,154511,156954,159168,161440,163656,164542
1083,Limestone County,AL,83181,85557,87326,88916,90599,91565,92847,94130,96177,98915
